Tipo de material,Peso,Ref de Peso 
PTR 3/4 x 3/4 CAL 14,1.06,Peso x metro lineal
"PTR 1"" x 1"" CAL 14",1.44,Peso x metro lineal
"PTR 1"" x 1"" CAL 13",1.71,Peso x metro lineal
"PTR 1"" x 1"" CAL 11",2.25,Peso x metro lineal
"PTR 1"" x 1"" CAL 10",2.6,Peso x metro lineal
"PTR 1 1/4"" x 1 1/4"" CAL 14",1.83,Peso x metro lineal
"PTR 1 1/4"" x 1 1/4"" CAL 12",2.53,Peso x metro lineal
"PTR 1 1/4"" x 1 1/4"" CAL 11",2.87,Peso x metro lineal
"PTR 1 1/2"" x 1 1/2"" CAL 14",2.25,Peso x metro lineal
"PTR 1 1/2"" x 1 1/2"" CAL 12",3.1,Peso x metro lineal
"PTR 1 1/2"" x 1 1/2"" CAL 11",3.42,Peso x metro lineal
"PTR 1 1/2"" x 1 1/2"" CAL 10",3.89,Peso x metro lineal
"PTR 1 3/4"" x 1 3/4"" CAL 14",2.63,Peso x metro lineal
"PTR 2"" x 1"" CAL 14",2.17,Peso x metro lineal
"PTR 2"" x 1"" CAL 11",3.47,Peso x metro lineal
"PTR 2"" x 2"" CAL 14",3,Peso x metro lineal
"PTR 2"" x 2"" CAL 12",4.13,Peso x metro lineal
"PTR 2"" x 2"" CAL 11",4.62,Peso x metro lineal
"PTR 2"" x 2"" CAL 10",5.5,Peso x metro lineal
"PTR 2"" x 2"" CAL 3/16",6.75,Peso x metro lineal
"PTR 2"" x 2"" CAL 1/4",8.34,Peso x metro lineal
"PTR 2 1/2"" x 1 1/4"" CAL 14",2.77,Peso x metro lineal
"PTR 2 1/2"" x 1 1/2"" CAL 14",2.97,Peso x metro lineal
"PTR 2 1/2"" x 2 1/2"" CAL 14",3.77,Peso x metro lineal
"PTR 2 1/2"" x 2 1/2"" CAL 12",5.17,Peso x metro lineal
"PTR 2 1/2"" x 2 1/2"" CAL 11",5.83,Peso x metro lineal
"PTR 2 1/2"" x 2 1/2"" CAL 10",6.67,Peso x metro lineal
"PTR 2 1/2"" x 2 1/2"" CAL 3/16",8.77,Peso x metro lineal
"PTR 2 1/2"" x 2 1/2"" CAL 9",6.75,Peso x metro lineal
"PTR 3"" x 1 1/2"" CAL 14",3.34,Peso x metro lineal
"PTR 3"" x 2"" CAL 14",3.77,Peso x metro lineal
"PTR 3"" x 2"" CAL 11",5.84,Peso x metro lineal
"PTR 3"" x 2"" CAL 10",6.67,Peso x metro lineal
"PTR 3"" x 2"" CAL 3/16",8.77,Peso x metro lineal
"PTR 3"" x 3"" CAL 14",4.48,Peso x metro lineal
"PTR 3"" x 3"" CAL 11",7.05,Peso x metro lineal
"PTR 3"" x 3"" CAL 10",7.96,Peso x metro lineal
"PTR 3"" x 3"" CAL 3/16",10.42,Peso x metro lineal
"PTR 3"" x 3"" CAL 1/4",13.5,Peso x metro lineal
"PTR 3 1/2"" x 2 1/2"" CAL 11",8.33,Peso x metro lineal
"PTR 3 1/2"" x 2 1/2"" CAL 10",9.33,Peso x metro lineal
"PTR 3 1/2"" x 2 1/2"" CAL 3/16",12.46,Peso x metro lineal
"PTR 4"" x 1 1/2"" CAL 14",4.02,Peso x metro lineal
"PTR 4"" x 2"" CAL 14",4.47,Peso x metro lineal
"PTR 4"" x 2"" CAL 11",7.05,Peso x metro lineal
"PTR 4"" x 2"" CAL 10",7.96,Peso x metro lineal
"PTR 4"" x 2"" CAL 3/16",10.43,Peso x metro lineal
"PTR 4"" x 3"" CAL 14",5.33,Peso x metro lineal
"PTR 4"" x 3"" CAL 12",7.52,Peso x metro lineal
"PTR 4"" x 3"" CAL 11",8.33,Peso x metro lineal
"PTR 4"" x 3"" CAL 10",9.33,Peso x metro lineal
"PTR 4"" x 3"" CAL 3/16",12.46,Peso x metro lineal
"PTR 4"" x 4"" CAL 14",6,Peso x metro lineal
"PTR 4"" x 4"" CAL 11",9.5,Peso x metro lineal
"PTR 4"" x 4"" CAL 10",10.66,Peso x metro lineal
"PTR 4"" x 4"" CAL 3/16",14.06,Peso x metro lineal
"PTR 4"" x 4"" CAL 1/4",18.67,Peso x metro lineal
"PTR 5"" x 3"" CAL 11",9.54,Peso x metro lineal
"PTR 5"" x 3"" CAL 10",10.67,Peso x metro lineal
"PTR 5"" x 3"" CAL 3/16",14.17,Peso x metro lineal
"PTR 6"" x 2"" CAL 14",5.9,Peso x metro lineal
"PTR 6"" x 2"" CAL 11",9.5,Peso x metro lineal
"PTR 6"" x 2"" CAL 10",10.66,Peso x metro lineal
"PTR 6"" x 2"" CAL 3/16",14.25,Peso x metro lineal
LAMINA CAL 8,33.57,Peso x metro cuadrado
LAMINA CAL 9,30.52,Peso x metro cuadrado
LAMINA CAL 10,27.46,Peso x metro cuadrado
LAMINA CAL 11,24.41,Peso x metro cuadrado
LAMINA CAL 12,21.36,Peso x metro cuadrado
LAMINA CAL 13,18.3,Peso x metro cuadrado
LAMINA CAL 14,15.26,Peso x metro cuadrado
LAMINA CAL 16,12.2,Peso x metro cuadrado
LAMINA CAL 18,9.76,Peso x metro cuadrado
LAMINA CAL 20,7.32,Peso x metro cuadrado
LAMINA CAL 22,6.1,Peso x metro cuadrado
LAMINA CAL 24,4.88,Peso x metro cuadrado
LAMINA CAL 16,3.66,Peso x metro cuadrado
LAMINA CAL 28,3.05,Peso x metro cuadrado
LAMINA CAL 30,2.44,Peso x metro cuadrado
LAMINA Antiderrapante CAL 16,14.63,Peso x metro cuadrado
LAMINA Antiderrapante CAL 14,18.29,Peso x metro cuadrado
LAMINA Antiderrapante CAL 12,25.61,Peso x metro cuadrado
LAMINA Antiderrapante CAL 1/8,30.02,Peso x metro cuadrado
